노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
87,28034001,선진여객,계양대교,송내역,05:00:00,2320,03:12:00,40.43,21,120,8,10,00:09:00
9,28310003,성민버스,무지개아파트(동남아파트),가좌동차고지,04:40:00,2230,04:25:00,59.5,14,56,16,22,00:19:00
903,28344001,세원교통,월드아파트,신세계백화점(인천터미널),05:00:00,2300,03:44:00,60.9,14,65,16,,00:16:00
904,28038003,공영급행,청라국제도시역,부평역,05:00:00,2300,02:33:00,38.54,12,84,11,14,00:12:30
904-1,28333001,대한여객,청라국제도시역,부평역,05:00:00,2250,02:48:00,44.5,12,72,14,16,00:15:00
905,28038004,공영급행,계양역,사리울중학교,05:00:00,2300,03:40:00,55.35,24,117,8,10,00:09:00
908,28038007,더월드교통,송도공영차고지,인하대후문,05:00:00,2300,02:25:00,42.5,11,85,13,20,00:13:00
909,28038008,공영급행,인천대학교공과대학,송내역,05:00:00,2300,03:10:00,50.88,10,56,17,21,00:19:00
91(순환),28037004,인천교통공사,송도공영차고지,송도스포츠센터(LNG야구장),05:30:00,2300,02:53:00,42.44,12,68,14,25,00:14:00
9100,28001001,인강여객,대우아파트,강남역,05:00:00,2300,03:00:00,118,18,100,6,13,00:09:30
92(순환),28037008,인천교통공사,송도공영차고지,힐스테이트레이크송도(정문),05:30:00,2300,03:22:00,49,14,68,13,25,00:13:00
9200,28001002,인강여객,송도유원지(도로교통공단),강남역,05:00:00,2300,02:30:00,116,22,110,7,15,00:07:00
9201,28001007,인강여객,성호아파트,강남역,05:00:00,2300,04:24:00,114,16,52,15,25,00:20:00
9300,28001003,선진여객,청라국제업무단지(골드클래스),강남역,05:00:00,2300,03:50:00,131,12,27,30,50,00:40:00
9500,28343003,마니교통,부평역,시민의숲양재꽃시장,05:00:00,2340,03:40:00,96.8,13,52,20,30,00:20:00
9501,28314004,신강교통,1차풍림아이원,시민의숲양재꽃시장,05:00:00,2340,04:00:00,91,15,65,15,20,00:17:30
9802,28314005,신강교통,1차풍림아이원,시민의숲양재꽃시장,05:00:00,2330,04:00:00,99.4,9,45,30,40,00:30:00
M6405,28317900,인강여객,웰카운티,강남역,05:00:00,2330,03:00:00,136,27,135,5,20,00:05:00
M6628,28336900,수정관광화물,경남아너스빌,합정역,06:55:00,2030,03:20:00,51.3,5,12,10,35,00:22:30
M6724,28321900,청룡교통,연세대,서울역,05:00:00,2310,04:35:00,94.5,15,44,15,25,00:20:00
계양1번,28341001,인천계양시설관리공단,계양역,이화2동마을회관,07:00:00,2000,,1,1,1,,,
계양2번,28341002,인천계양시설관리공단,계양역,둑실경로당,06:45:00,2200,,1,1,1,,,
순환31,28511014,해성운수,구월아시아드1.2단지,구월아시아드1.2단지,05:30:00,2300,00:42:00,6,2,50,20,,00:20:00
중구1,28315016,영풍운수,영종중학교,영종중학교,05:30:00,2120,01:00:00,1,1,13,60,120,01:00:00
중구2,28315017,영풍운수,영종고등학교,영종고등학교,06:25:00,2125,01:30:00,1,1,8,120,150,02:00:00
중구2-1,28315018,영풍운수,인천공항7A(3층),인천공항7A(3층),06:50:00,2125,00:40:00,1,1,16,50,60,00:55:00
중구3,28315019,영풍운수,영종선착장(구읍배터),영종선착장(구읍배터),05:20:00,2220,01:30:00,1,2,18,60,60,01:00:00
중구4,28315029,영풍운수,예단포물양장,예단포물양장,05:40:00,2300,01:00:00,1,2,28,40,40,00:40:00
중구6,28315028,영풍운수,광명항,동인천역,08:10:00,1440,01:20:00,48,1,3,180,210,03:15:00
