노선번호,﻿ISC노선ID,회사명,기점정류소명,종점정류소명,기점첫차시간,기점막차시간,운행시간,노선인가거리,면허대수,인가운행횟수,최소배차간격,최대배차간격,평균배차간격
16-2(강화),28302017,강화선진버스,강화터미널,강화터미널,06:05:00,715,03:40:00,1,1,2,70,70,01:10:00
17(강화),28032043,강화선진버스,강화터미널,강화터미널,07:10:00,1930,03:40:00,1,1,7,75,170,02:02:30
17-1,28302005,강화선진버스,1차풍림아이원,골드클래스,04:20:00,2230,02:34:00,35.84,9,63,14,20,00:17:00
18(강화),28302007,강화선진버스,강화터미널,강화터미널,06:10:00,2030,03:40:00,1,1,11,70,300,01:10:00
2,28011001,동화운수,효성동동화운수차고지,월미도,04:45:00,2300,03:57:00,50.46,37,170,6,7,00:06:30
2(강화),28302010,강화선진버스,강화터미널,강화터미널,07:30:00,1940,03:40:00,1,1,9,50,120,01:25:00
20,28022003,인천스마트,소래포구역종점,송내역,05:30:00,2240,03:03:00,40.86,15,84,11,13,00:12:00
20(강화),28032044,강화선진버스,강화터미널,강화터미널,07:20:00,1930,03:40:00,1,1,8,90,125,01:47:30
202,28315003,영풍운수,방죽삼거리,인천공항T1(3층14번),05:00:00,2215,03:50:00,134,14,63,15,18,00:16:30
203,28315037,영풍운수,영종선착장,인천공항T2-1번출입구(3층),04:50:00,2240,03:10:00,60.4,12,67,15,17,00:16:00
204,28315038,영풍운수,영종동행정복지센터,입구지,04:50:00,2100,02:50:00,82,3,17,50,70,01:00:00
21,28022004,인천스마트,소래포구역종점,만석비치타운,05:30:00,2240,03:55:00,54.4,13,56,16,19,00:17:30
2-1,28304004,동화운수,호수공원음악분수,계산여고,05:00:00,2300,03:20:00,51.1,12,64,17,18,00:17:30
21(강화),28032045,강화선진버스,강화터미널,강화터미널,06:05:00,1630,03:40:00,1,1,6,115,220,02:47:30
22,28023001,원진운수,청소년수련관,은행초등학교,05:00:00,2300,04:42:00,62.25,19,72,13,17,00:15:00
22(강화),28302004,강화선진버스,강화터미널,강화터미널,07:45:00,1700,03:40:00,1,1,3,170,385,04:37:30
222,28315005,영풍운수,인천공항7A(3층),큰무리선착장,07:10:00,1850,01:02:00,24.9,1,11,60,70,01:05:00
223,28030012,강인여객,영종역,인천국제공항(3층),05:00:00,2230,02:40:00,61.5,8,52,19,20,00:19:30
23,28002004,삼환교통,월미도,부개역,05:20:00,2300,03:11:00,43.15,23,122,7,10,00:08:30
23(강화),28032047,강화선진버스,강화터미널,강화터미널,06:30:00,1630,03:40:00,1,1,2,595,300,07:27:30
24,28325001,해성운수,국제여객터미널,상동역1번출구,05:00:00,2320,03:41:00,43.1,20,99,10,12,00:11:00
24(강화),28032048,강화선진버스,강화터미널,강화터미널,06:30:00,2115,03:40:00,1,1,7,85,85,01:25:00
24-1,28013005,세운교통,가좌동차고,오조산공원,05:00:00,2300,03:16:00,39,12,66,14,19,00:16:30
25(강화),28032049,강화선진버스,강화터미널,강화터미널,06:40:00,2010,03:40:00,1,1,7,95,95,01:35:00
26(강화),28032050,강화선진버스,강화터미널,강화터미널,06:20:00,1910,03:40:00,1,1,6,170,170,02:50:00
27,28022006,인천스마트,월곶,인하대병원,05:25:00,2230,03:35:00,51,12,57,15,21,00:18:00
27(강화),28032051,강화선진버스,강화터미널,강화터미널,06:00:00,2030,03:40:00,1,1,6,60,300,01:00:00
28,28027001,시영운수,가좌동차고,대동아파트,05:20:00,2300,04:19:00,59.1,28,113,9,10,00:09:30
28-1,28027004,시영운수,가좌동차고,미추홀구청,05:20:00,2300,03:42:00,58.1,15,71,14,16,00:15:00
